publisher,publication_date,climate_change_count,climate_change_IPCCreport_count,insect_decline_count,insect_population_count,insect_population_studies_count,pollinator_decline_count,pollinator_population_count,total_count,climate_change_proportion,climate_change_IPCCreport_proportion,insect_decline_proportion,insect_population_proportion,insect_population_studies_proportion,pollinator_decline_proportion,pollinator_population_proportion
AFP,1991-05-31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4819.0,0.0004150238638721727,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-06-30,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6451.0,0.0012401178111920632,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-07-31,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6595.0,0.000758150113722517,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-08-31,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6540.0,0.0007645259938837921,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-09-30,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6599.0,0.0010607667828458857,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-10-31,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7588.0,0.0006589351607801792,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-11-30,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7499.0,0.0005334044539271903,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-12-31,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6504.0,0.0013837638376383763,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1992-01-31,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5263.0,0.0005700171005130154,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1992-02-29,,,,,,,,0.0,,,,,,,
AFP,1992-03-31,,,,,,,,0.0,,,,,,,
AFP,1992-04-30,17.0,0.0,0.0,0.0,0.0,0.0,0.0,7341.0,0.0023157607955319437,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1992-05-31,34.0,0.0,0.0,0.0,0.0,0.0,0.0,7837.0,0.004338394793926247,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1992-06-30,60.0,0.0,0.0,0.0,0.0,0.0,0.0,7850.0,0.007643312101910828,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1992-07-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0009775171065493646,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1992-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1992-09-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0,0.001122334455667789,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1992-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1992-11-30,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2761.0,0.0007243752263672582,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1992-12-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6736.0,0.0001484560570071259,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1993-01-31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2109.0,0.000948316737790422,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1993-02-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0,0.0009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1993-03-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1993-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1993-05-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5492.0,0.0001820830298616169,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1993-06-30,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6734.0,0.0007425007425007425,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1993-07-31,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7734.0,0.0003878975950349108,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1993-08-31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8207.0,0.00024369440721335446,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1993-09-30,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8826.0,0.00022660321776569228,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1993-10-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8643.0,0.00011570056693277797,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1993-11-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7390.0,0.00013531799729364006,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1993-12-31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6797.0,0.00029424746211563924,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1994-01-31,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8130.0,0.00036900369003690036,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1994-02-28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9185.0,0.00021774632553075667,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1994-03-31,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7127.0,0.0004209344745334643,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1994-04-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,0.0016286644951140066,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1994-05-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0027472527472527475,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1994-06-30,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.00038580246913580245,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1994-07-31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7456.0,0.0002682403433476395,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1994-08-31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6369.0,0.0003140210394096404,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1994-09-30,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5364.0,0.0003728560775540641,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1994-10-31,4.0,0.0,1.0,1.0,0.0,0.0,0.0,8051.0,0.0004968326915911067,0.0,0.00012420817289777666,0.00012420817289777666,0.0,0.0,0.0
AFP,1994-11-30,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7287.0,0.0004116920543433512,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1994-12-31,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7177.0,0.0005573359342343597,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1995-01-31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8302.0,0.0002409058058299205,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1995-02-28,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8104.0,0.0007403751233958539,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1995-03-31,32.0,0.0,0.0,1.0,0.0,0.0,1.0,8954.0,0.0035738217556399374,0.0,0.0,0.00011168192986374804,0.0,0.0,0.00011168192986374804
